,alpha,mu_a,sigma_a
151,24.354947417037543,5.099749485721228,1.0621295414211205
152,17.080651908898737,10.507475244647063,2.999823477498817
153,22.409056632927815,6.5207300307195375,1.4910061362718983
154,25.59478714513391,13.496032159434861,4.180884639418538
155,23.670464487338027,10.105902380704553,2.9119208526009164
156,19.206257301842726,5.517289270437873,1.10504644559123
157,25.317651016508318,6.270718408217903,1.7605499126997781
158,25.647384973861225,6.429142984758515,1.8248667103201286
159,31.941477951982776,6.301197180608987,1.965061212013056
160,18.0567657722608,7.519616628040263,2.1885078067509474
161,18.684880354912174,8.742581368450287,2.084581209975295
162,21.36842430696872,12.250693660195722,4.274327169525725
163,22.73867618522331,4.859063306934188,0.985252097508544
164,15.929134446422914,20.58131140545251,5.698580872511248
165,28.314770424979617,12.540302124517298,4.200074438410936
166,24.81446994165881,4.57980221097749,0.8421321600784545
167,28.366734220327704,14.655811187431816,5.69565541070687
168,24.889080832074793,8.755660200945233,2.4299778124779117
169,23.983741695753242,7.533989478945002,1.9860546748733865
170,20.543630566552768,7.621222424127969,1.7735312653464579
171,21.066298933113057,6.74073124610504,2.090091191416414
172,17.005101524187896,8.217351453117617,2.21204957786888
173,26.409620077261447,7.516323343538391,2.385734057911016
174,23.40197502094457,6.558243330947396,1.5946184146624092
175,27.030990264420318,9.701707348219596,3.021780839857171
176,25.022165200945356,14.561434348127035,5.653308492209646
177,22.085165222205354,9.77359960929493,3.309233414496312
178,26.24896694078124,7.122113074188363,2.097237054570575
179,24.320792136820046,5.123771260818478,1.0374701677840739
180,18.444357626868403,10.18755543671317,2.4422015128766716
181,21.042440834569696,9.443257427529003,2.4726351004122393
182,22.196930245388096,5.904218027885731,1.5085066594865353
183,17.209785893149565,10.955099065739455,3.441118058292819
184,22.43659359591178,7.128123718871883,1.9761997712821404
185,25.830750956166064,8.353661057492346,2.500683328517423
186,25.282887488082377,11.376675546559882,3.6524409453454587
187,25.412429922685558,7.1330500118997415,2.1712641920125018
188,27.16957878230728,10.397253313928585,3.933268583739937
189,21.996486960914883,12.788968816273705,4.403808058452267
190,16.994082914275012,7.090736543613896,1.7523543751216184
191,16.111124390328822,8.978138933527678,2.2651026556562632
192,21.96335192928124,6.46407402936587,1.5005704607094512
193,24.692241559557974,8.226776082726682,2.6632234042702327
194,24.199380815566418,7.072623038926042,1.9545888250082775
195,26.55681030046958,3.744496934916115,0.6470559416052626
196,16.94369215172141,12.039140914062639,4.030448976158699
197,21.01107161305998,16.268874084128605,4.310446546712406
198,28.265780147913254,9.952006794535086,3.120935893723389
199,19.943020031729585,8.354609608583367,2.0603223301047464
200,25.850418486795135,5.817740732050289,1.459166603852585
201,22.787897469970012,8.25527603594211,2.523631979861554
202,16.684243240526985,9.6307449075181,2.771650076348853
203,27.810226827171007,10.677235756072967,3.353059838237905
204,26.42717055775864,9.855424425294736,3.1262801172862305
205,23.924835275030485,9.243311972441226,2.580799466615313
206,16.585223105757684,9.5017452399406,2.9402855975717914
207,25.565182783623335,4.546257360585249,0.8363629871250635
208,28.293537032681147,4.914623160000044,1.2224256563800593
209,19.913140962156305,6.51167806184185,1.3818761959190093
210,16.752254744805242,12.265070379835297,3.114585612141516
211,16.679178711402425,8.022315064922717,2.0966121323161415
212,17.545498385953515,7.828228856403616,1.7248912336371507
213,17.147160737666375,14.50936756443676,3.6087104728126502
214,27.78182587772117,3.986973598810224,0.6631639211505912
215,26.489148432956103,7.251697815101105,1.9229210665471208
216,16.220420564717756,9.85292702448056,2.807723389432479
217,27.854255334203547,12.160606664465439,4.550058347001826
218,19.609624344028596,11.674912628932548,3.6776327317258826
219,18.958736407292896,4.903159753970596,1.0460863893140189
220,16.10869766649364,11.881815160108989,3.4539186534651023
221,22.14383029050652,7.711323776944553,1.8931702669474457
222,18.671014817474973,7.282060978259688,2.023363190328426
223,25.049515429373177,5.364916179359244,1.1309232848165025
224,29.23763722942022,3.6083287016545293,0.5116196026557119
225,35.749091863978,11.198164249634807,4.135529723642559
226,18.34874127580274,10.4373867057191,3.3549518007651686
227,21.017930471810075,11.13063986031987,3.9954139156169974
228,27.740099510909783,4.5814027920837335,0.8897671138459636
229,20.21557000695015,5.12970710379108,1.1310306899794316
230,18.46655247675496,5.7566763827604355,1.272110322435017
231,29.76029328768569,9.68343488268303,3.459216234274347
232,32.05020555203424,8.586329319174412,2.919785204853133
233,29.334206737009787,5.012830441227,1.1320666012938685
234,27.286673456783866,8.011678376488435,2.6170474620716893
235,21.74167772644815,7.78055656896736,2.325768910146444
236,25.40282381649963,9.552958419292876,2.791726842195316
237,24.707746265386138,6.736465919482499,2.0029170686015143
238,20.105749078344974,5.898468355333853,1.1821437759498208
239,18.609773792959,6.397351514038066,1.6224697338917071
240,27.350319708198544,6.841095720591601,1.8737477550235293
241,15.665359747063727,13.108573583881569,3.172638155660575
242,26.79340867651271,10.693115851609482,3.370906535625414
243,26.13561425208038,7.003381670717714,1.9593946583508104
244,25.783733032197354,14.293241575288327,5.835580555735772
245,26.521890606928,10.120825570985478,3.049793701047553
246,22.47649262779956,8.823006073482349,2.315279563806676
247,15.59760126288091,12.487933438015071,3.4113240499588837
248,26.53015420326889,8.311409875682845,2.46144585193911
249,21.746500169615373,10.180482545315401,2.7526018344986687
250,20.780264569743274,5.87895688964311,1.6341317684032421
251,18.49410728480901,8.085942321040374,2.63951737846749
252,20.12716896588741,9.133346143698999,2.2197657561840174
253,23.803741233094993,16.829831914235175,4.895635896512617
254,17.02663509523085,6.692137054219608,1.6173266488593927
255,16.26837802902647,9.555736164809929,2.85031871918594
256,22.343381172706255,5.148013636911539,0.9811267409437756
257,24.598116249978585,8.207316872989619,2.3072875559109947
258,16.207247659782738,8.811942054398674,1.9966596613791066
259,29.908096331130768,12.906083732199352,4.550287160653051
260,18.917662247580058,9.588262951636331,3.340391477926454
261,20.357270216245208,6.176412787414437,1.4144231515129777
262,25.839609994075367,5.475116744359851,1.2880716411966138
263,23.522251359715785,3.8615871193979676,0.5350925746543856
264,23.065545204655745,8.971658337073618,2.4159661649046655
265,28.234066797661438,7.65620886720971,2.1933692688395374
266,24.86258057645869,8.291584068651467,2.365623503765684
267,22.67271146843583,7.30096836108413,1.870395439494725
268,21.657045997322104,18.509630414496062,6.961693638861446
269,22.067523717904706,6.608330611599677,1.5223595230657765
270,19.879616413047696,9.455851944476862,2.2628166359434783
271,21.04168004695418,11.450107402846376,2.9524785649409218
272,23.97188616805495,8.75443228347009,2.38188593744321
273,20.310231402647425,4.906429824921396,0.8618609466374376
274,22.40888694524174,10.294373570605833,3.721068734971711
275,15.354275494799374,10.080038329840534,2.6532020282793103
276,28.451096438105164,8.45853293376923,2.5074788441529168
277,30.37402064181992,7.292508154431512,2.102150161939471
278,16.918404349995626,7.111350905934728,1.6551675888579633
279,21.379968725224572,7.100784259657848,1.7100746291148992
280,16.883471465277687,8.22705492102197,1.9635370771927771
281,26.957276101394537,11.38602138140219,4.336463488519958
282,27.65267106042427,6.522292170743907,1.692146759484765
283,17.31288344683038,16.03816594302948,5.700433880556796
284,18.363716315437784,4.963958043464484,0.9554912637371431
285,25.15551477632885,4.05034127073097,0.5869600732883783
286,20.824034894373877,4.894176353072584,0.8859949074629341
287,24.157777359634547,5.518025526036009,1.5346055473412314
288,21.9127287226026,6.561745163989409,1.9104769426081163
289,20.79690369191666,9.95265995606416,3.296057959748937
290,29.21970188843516,7.086375884110955,2.051567505914847
291,27.737269869555824,6.1422100093947245,1.6063911919798044
292,21.687690209930427,5.213488150495934,1.2739200545059501
293,29.857986131094954,8.371748214828042,2.5133267337508607
294,16.600481353835715,14.938091721033011,3.460072881551244
295,26.5663239802892,6.284344151941127,1.5406559594550115
296,19.277276426813728,6.602281235333113,1.3341202329519792
297,18.83816298013087,5.343446009444994,1.1126668493423104
298,16.69536782258828,17.77802194590138,6.1820505092543
299,23.697693259432278,17.34260596088891,5.088317699078803
300,20.174485743629475,14.027907218568537,3.7875941170073077
301,30.746729928642928,4.54172561600922,0.8793283681580649
302,15.565471117729256,10.690028361890494,2.9973781653612535
303,17.48028544464093,11.317328305880501,3.67429212274398
304,24.52257894186215,8.679600761783961,2.3324648184412973
305,15.946699801312713,8.522275046961301,2.176001261860528
306,21.082922608996295,5.961002465600893,1.1186917559733882
307,16.806350568453816,7.129570649739742,1.5221503548389324
308,19.967312343966654,7.326793345431181,1.6724454108933695
309,29.4234963164576,7.635846019477275,2.323704607900341
310,16.18164389382633,8.981045467201563,2.5524207818648543
311,16.1419022511993,11.261439584452333,3.478016499868954
312,23.62665182607367,6.279090737873125,1.42033646535341
313,17.678523328709737,7.158651531442657,1.4772994745168953
314,27.208204302523253,8.606242571384007,2.891103897434354
315,23.963226278626976,5.783756145360657,1.4132929769430054
316,26.730862110875513,6.714708020189697,1.7364123401204572
317,17.903922788603758,6.9670222304736225,1.85878421395664
318,29.181559556571457,3.976821306888634,0.6677097971761788
319,19.31769568708925,10.92258529403275,3.7770094556302767
320,23.474583308370295,6.177704441047982,1.7505908790090607
321,19.593100010257537,12.131203331059686,3.1027429610838557
322,20.431869698893824,4.769269544610372,1.0460062481895689
323,28.38933645992035,12.621663398622891,3.9736697453408896
324,23.731668488459118,9.97152141718569,3.2421119566244463
325,16.112873755855667,6.725632009310844,1.5308701618135996
326,27.062060372106536,7.4615489175835625,2.291716928717572
327,16.06360155057304,10.763884385461038,3.240668124747354
328,25.60325077773519,12.790295982680153,4.15918154528938
329,20.996668968974614,5.689800846632121,1.36760967854277
330,16.816990792052543,10.975414487422944,2.5119720875142777
331,35.37297518068788,14.50208644829967,5.2389540393079335
332,18.94700410519162,6.016184234674923,1.6181900479139009
333,23.77540176039728,9.516545125682427,2.7512633026931583
334,32.404318079149014,12.41390148458964,4.585493626478624
335,23.080714232136568,5.867629028903529,1.4841647899634216
336,21.284253868690534,7.501760358001454,1.7861601094424782
337,17.56887556873871,7.536384147139918,2.1513539375387523
338,29.51089962010201,11.173114476644088,3.881472317926822
339,32.67822290103268,9.15952781034827,3.0175905752025503
340,25.443130930487577,3.9152000352854794,0.5167936783187467
341,41.52214981891098,10.896485116850458,4.239156084193666
342,22.387819245074812,4.318668178264066,0.656816668147793
343,32.16170567623428,6.661210756130911,1.858760123555823
344,22.539008286625076,9.215636215514676,2.9612958597288226
345,16.560188272684695,6.82322905462561,1.7636465026659662
346,17.56042572307543,5.760097671116339,1.296184243051066
347,20.404300021763827,5.349836994728845,0.9656200647355512
348,17.072832592243323,10.031554821680162,2.2021861153601328
349,28.253138082925428,8.65494010599669,2.6617371155724405
350,22.932727725824414,6.863092386413154,2.0505312281022965
351,15.807915445341301,9.256733419990942,2.0596497267328084
352,22.729888029821392,4.565055082237999,0.9498551175917019
353,22.92756968861588,9.190261925142213,2.3413141608553296
354,28.12976758399433,4.274010899512409,0.9294807977833336
